condition,event_id,exceedance_probability_any_count,exceedance_probability_any_mean,exceedance_probability_any_std,f1_count,f1_mean,f1_std,f2_count,f2_mean,f2_std,f3_count,f3_mean,f3_std,factor,hard_physical_violation_count,hard_physical_violation_mean,hard_physical_violation_std,max_q_safe_ratio_count,max_q_safe_ratio_mean,max_q_safe_ratio_std,minimum_safety_margin_m3s_count,minimum_safety_margin_m3s_mean,minimum_safety_margin_m3s_std,operational_deviation_count,operational_deviation_mean,operational_deviation_std,peak_reduction_pct_count,peak_reduction_pct_mean,peak_reduction_pct_std,plan_constraint_violation_count,plan_constraint_violation_mean,plan_constraint_violation_std,seconds_count,seconds_mean,seconds_std,strategy,tail_peak_ratio_cvar95_count,tail_peak_ratio_cvar95_mean,tail_peak_ratio_cvar95_std
matched,P05,5,0.02578125,0.016188567019611015,5,0.031749886761658526,0.01783281224265959,5,3.4903198963967212,1.191359495520052,5,0.03895290550071155,0.004701618551251062,18.25,5,0.004537610951435366,0.010146406542856975,5,1.633398314465873,0.15710576639277296,5,-35913.684430215,8907.896954470227,5,0.06735989758250668,0.0476110654697018,5,1.2039063443611209,3.1767593137005252,5,3.738161536263577e-18,8.358783305960403e-18,5,136.0021796398796,5.490948346603786,dynamic_budget,5,1.0562079827383262,0.1307850515255604
matched,P05,5,0.031640625,0.0240955789270174,5,0.039005603286839705,0.02209535593757708,5,4.059343228459867,1.1810113027616478,5,0.042107769044968255,0.008431967775692994,18.25,5,0.0027730950299794956,0.00620082899510097,5,1.6366411109996417,0.13259664157263487,5,-36097.55099367969,7518.229577168397,5,0.03250034664087826,0.010976499230512193,5,0.8916250312215489,3.448107899078296,5,7.098495233349683e-18,1.5872717879728122e-17,5,140.4806152999401,9.038963534520358,fixed_budget,5,1.0790773901512782,0.15316070337006737
matched,P05,5,0.03359375,0.025292780223718243,5,0.03262425746904914,0.015075230204213887,5,3.4671597319469614,1.3009547891368207,5,0.027266539081430792,0.003621359775141554,18.25,5,0.0004251564268721268,0.0009506786715569937,5,1.598816007748819,0.15295579957918895,5,-33952.86763935804,8672.593836140011,5,0.02199294793835508,0.024594989885686546,5,3.316483222072449,2.0483790797690213,5,3.643589935592525e-18,8.147314778118968e-18,5,142.42865857994184,5.839677289100958,full_method,5,1.0257093930178598,0.13668696306478906
matched,P05,5,0.02578125,0.012536567606157198,5,0.02977339309259524,0.014112643582299916,5,3.280099708133433,0.7270641645826694,5,0.03441591884397948,0.003950625892896041,18.25,5,0.0014359976787015614,0.0032109884251085934,5,1.6109458936521903,0.14069030117352332,5,-34640.6321700792,7977.1400765387725,5,0.04588452070510515,0.03076002679250602,5,2.5341080242799725,1.1878937641128926,5,0.0,0.0,5,130.24214739995077,3.2534351250663573,no_budget,5,1.0244906797056204,0.1173536190477586
normal,P05,5,0.0,0.0,5,0.0,0.0,5,2.0298216543572645,0.56415146600494,5,0.033210644131605196,0.005589763499939137,1.0,5,0.0,0.0,5,0.5037690918135617,0.04043075509421245,5,28136.292494171055,2292.423813841845,5,0.0440245164220099,0.02797373268799989,5,11.169137272908108,6.898390140121541,5,3.5492476166748416e-18,7.936358939864063e-18,5,129.13475954001768,6.272410044274363,dynamic_budget,5,0.5037690918135617,0.04043075509421247
normal,P05,5,0.0,0.0,5,0.0,0.0,5,2.0298216543572645,0.56415146600494,5,0.033210644131605196,0.005589763499939137,1.0,5,0.0,0.0,5,0.5037690918135617,0.04043075509421245,5,28136.292494171055,2292.423813841845,5,0.0440245164220099,0.02797373268799989,5,11.169137272908108,6.898390140121541,5,3.5492476166748416e-18,7.936358939864063e-18,5,126.14287334000691,4.305564678244498,fixed_budget,5,0.5037690918135617,0.04043075509421247
normal,P05,5,0.0,0.0,5,0.0,0.0,5,1.4546313112067675,0.25947933505648546,5,0.021323240267996566,0.0033556927280885018,1.0,5,0.0,0.0,5,0.42443658615094826,0.07229187895142679,5,32634.445565241236,4098.9495365459,5,0.020550742597672568,0.026190768572462827,5,25.15912060225155,12.646094271976875,5,3.5492476166748416e-18,7.936358939864061e-18,5,134.96543623991312,5.45249067500197,full_method,5,0.42443658615094826,0.07229187895142679
normal,P05,5,0.0,0.0,5,0.0,0.0,5,2.0298216543572645,0.56415146600494,5,0.033210644131605196,0.005589763499939137,1.0,5,0.0,0.0,5,0.5037690918135617,0.04043075509421245,5,28136.292494171055,2292.423813841845,5,0.0440245164220099,0.02797373268799989,5,11.169137272908108,6.898390140121541,5,3.5492476166748416e-18,7.936358939864063e-18,5,127.32186431996524,3.968068840993829,no_budget,5,0.5037690918135617,0.04043075509421247
matched,P06,5,0.032421875,0.010204961310635259,5,0.04811688220998705,0.010738667637453353,5,2.288725158324115,0.6410969026984635,5,0.04261931012186566,0.009206107492098551,12.5,5,0.0,0.0,5,1.6319473296165263,0.03887309658275396,5,-35831.41358925704,2204.10457624215,5,0.1044834331454989,0.09599112614420716,5,2.002529439783162,1.990899109230985,5,3.643589935592525e-18,8.147314778118967e-18,5,146.49722049999983,5.416123035242981,dynamic_budget,5,1.0953508891708599,0.06211982830883969
matched,P06,5,0.034375,0.012777677526403224,5,0.05363690276928619,0.019456158819325674,5,2.7960924432069625,1.1007165243318178,5,0.040998967663553196,0.008042472982754578,12.5,5,0.0,0.0,5,1.6479867753080064,0.06581793441056412,5,-36740.85015996398,3731.876881078988,5,0.05519256985034147,0.03251736036332903,5,1.0879306280678014,1.3408925174668163,5,3.738161536263577e-18,8.358783305960403e-18,5,146.47294015986844,5.274208941943879,fixed_budget,5,1.1055259410852303,0.1251438574317262
matched,P06,5,0.03046875,0.010839403848055942,5,0.048333732609472435,0.021140626973244633,5,2.431585725442357,1.0363130847417117,5,0.03326198790117301,0.004241188924610929,12.5,5,0.0,0.0,5,1.6325654416802364,0.06866603939517386,5,-35866.460543269415,3893.364433706356,5,0.0877678540993311,0.06592817079478397,5,2.018652829794803,1.612823425441004,5,0.0,0.0,5,141.60495618004353,6.813176337708318,full_method,5,1.072064978354523,0.13781788519990662
matched,P06,5,0.020703125,0.009014047468136192,5,0.0374576641479707,0.01333158743970038,5,1.5695695826516827,0.6427540081477978,5,0.03320086465380624,0.004392055047237129,12.5,5,0.0,0.0,5,1.6027392216221599,0.07516482606127688,5,-34175.31386597648,4261.845637674402,5,0.15481311928774244,0.040408892653986506,5,3.8208863828494657,1.9004596142352523,5,1.083665676961326e-17,1.5983558009054112e-17,5,125.5882009201683,5.459792310576259,no_budget,5,1.0136509348643477,0.061476708790711036
normal,P06,5,0.0,0.0,5,0.0,0.0,5,0.486056202167563,0.19304769286178927,5,0.0342116123399947,0.00437387872094475,1.0,5,0.0,0.0,5,0.3636244713680637,0.023892978000604328,5,36082.49247343079,1354.7318526342674,5,0.010301344291049477,0.016198460511413458,5,9.52271298323597,6.037916073115948,5,0.0,0.0,5,126.1606349600479,6.203248632875609,dynamic_budget,5,0.3636244713680637,0.02389297800060434
normal,P06,5,0.0,0.0,5,0.0,0.0,5,0.486056202167563,0.19304769286178927,5,0.0342116123399947,0.00437387872094475,1.0,5,0.0,0.0,5,0.3636244713680637,0.023892978000604328,5,36082.49247343079,1354.7318526342674,5,0.010301344291049477,0.016198460511413458,5,9.52271298323597,6.037916073115948,5,0.0,0.0,5,122.1936112000607,6.21451504806716,fixed_budget,5,0.3636244713680637,0.02389297800060434
normal,P06,5,0.0,0.0,5,0.0,0.0,5,0.3829142980577983,0.28922135264146565,5,0.0251559753466231,0.0023728081652726845,1.0,5,0.0,0.0,5,0.31639091460795715,0.04449211762139132,5,38760.63514172883,2522.7030691328873,5,0.01200450509469104,0.014501279787073046,5,21.276538418818916,11.104740537404941,5,0.0,0.0,5,122.81441243998707,4.5968759315467205,full_method,5,0.31639091460795715,0.04449211762139132
normal,P06,5,0.0,0.0,5,0.0,0.0,5,0.486056202167563,0.19304769286178927,5,0.0342116123399947,0.00437387872094475,1.0,5,0.0,0.0,5,0.3636244713680637,0.023892978000604328,5,36082.49247343079,1354.7318526342674,5,0.010301344291049477,0.016198460511413458,5,9.52271298323597,6.037916073115948,5,0.0,0.0,5,124.04366102013736,7.260858405717662,no_budget,5,0.3636244713680637,0.02389297800060434
matched,P07,5,0.0234375,0.007307924583542854,5,0.05448989550809419,0.03854851351497104,5,3.6738744838808644,2.8637920598523765,5,0.04777102304783749,0.004829688041966664,35.75,5,0.04238094811471378,0.08495878395913369,5,1.6744941679707828,0.31829095862127865,5,-38243.81932394339,18047.097353826503,5,0.13196181935290863,0.028418361295432154,5,4.789711591425767,2.906185407549981,5,1.4706846989923593e-17,1.501719616670116e-17,5,113.65218011988327,3.7943839302342734,dynamic_budget,5,1.0266625134879053,0.14698361195883028
matched,P07,5,0.02109375,0.004453810254293507,5,0.04711371413987529,0.028934128154936064,5,2.9078470265450544,2.1317956649069405,5,0.04055610879126116,0.0023527168128415986,35.75,5,0.026893463837390302,0.06013561329083707,5,1.638652331578993,0.27063862047555604,5,-36211.58720052891,15345.209780964027,5,0.1262053561635173,0.041076312604990575,5,6.4961932748002,3.696451816423382,5,1.0968685453660017e-17,1.6067162709040945e-17,5,116.73200016003102,3.3631338917979137,fixed_budget,5,0.9612093538791907,0.08416099448175834
matched,P07,5,0.030078125,0.0065655219976451604,5,0.05456269673740881,0.01833683749651304,5,3.5221699643268125,1.340311024393626,5,0.04028097400447536,0.007971974503367644,35.75,5,0.05117904023652274,0.11443981299206178,5,1.7014906882867862,0.3318924068269506,5,-39774.522025860766,18818.2994670881,5,0.09437438477829806,0.02284670071508416,5,3.2483919227373463,3.235096696287183,5,3.738161536263577e-18,8.358783305960403e-18,5,118.08651234004647,1.158809489099143,full_method,5,1.0515015430849215,0.09555537064910932
matched,P07,5,0.020703125,0.010016313597623503,5,0.04189914139327884,0.03026339731161274,5,2.146564036500571,1.0921812316052018,5,0.034570289675281085,0.004261425646924963,35.75,5,0.028277220448768847,0.06322978713819424,5,1.6013246985093172,0.30033958025509466,5,-34095.11040547829,17029.254200463867,5,0.13056443972421755,0.038475248957202786,5,8.942971795244404,2.0575926115048646,5,0.0,0.0,5,108.18293098006397,7.117252118725561,no_budget,5,0.9328521773485206,0.1505767882816308
