algorithm,condition,evaluations,event_id,feasible_front_size,hv,igd,seconds,seed_index
NSGA-II,normal,4000,P05,14,0.8226564660803114,0.3403979983973103,21.019039999693632,2
NSGA-II,normal,4000,P05,20,0.9866595049794061,0.23026373132886838,20.21800069976598,3
NSGA-II,normal,4000,P05,11,1.0000334730448721,0.17888669208174293,19.373457400128245,4
NSGA-II,normal,4000,P05,6,1.0462201625969807,0.15359101972513559,18.907663700170815,5
NSGA-II,normal,4000,P05,10,1.1435191393915833,0.11649151386390662,19.866617999970913,6
NSGA-II,normal,4000,P05,14,1.016908882480979,0.2029696796282439,19.888569599948823,7
NSGA-II,normal,4000,P05,20,1.1284815085674564,0.12619038305546995,19.616205899976194,8
NSGA-II,normal,4000,P05,10,1.0551144728582138,0.1591459908159904,20.548562800046057,9
SPEA2,normal,4000,P05,26,1.0423235097414,0.1957693666119824,44.743118999991566,0
SPEA2,normal,4000,P05,21,1.0892653415650821,0.1684290381719327,46.76390720019117,1
SPEA2,normal,4000,P05,24,0.8231614268895472,0.370566659731597,47.655365800019354,2
SPEA2,normal,4000,P05,24,0.9221713954057481,0.27595883859974923,46.60337380040437,3
SPEA2,normal,4000,P05,18,1.0308476408955933,0.16101060207400741,46.19361150031909,4
SPEA2,normal,4000,P05,24,1.064270605072237,0.1501535194163989,46.49195109959692,5
SPEA2,normal,4000,P05,17,1.0181555069058836,0.17199110981745405,46.495470200199634,6
SPEA2,normal,4000,P05,22,1.0059810157313798,0.23053393938084518,46.17301080003381,7
SPEA2,normal,4000,P05,19,1.1375609241080926,0.12402111980144555,45.315102599561214,8
SPEA2,normal,4000,P05,16,1.0484348004013184,0.1811108798504282,45.15216669999063,9
