algorithm,condition,evaluations,event_id,seconds,seed_index
NSGA-III,normal,4000,P05,22.14356329990551,1
NSGA-III,normal,4000,P05,23.223710800055414,2
NSGA-III,normal,4000,P05,22.16995169967413,3
NSGA-III,normal,4000,P05,21.710642399732023,4
NSGA-III,normal,4000,P05,22.338359599933028,5
NSGA-III,normal,4000,P05,22.271596199832857,6
NSGA-III,normal,4000,P05,22.112521100323647,7
NSGA-III,normal,4000,P05,22.174570999573916,8
NSGA-III,normal,4000,P05,22.106361200101674,9
NSGA-II,normal,4000,P05,21.310953200329095,0
NSGA-II,normal,4000,P05,20.632290000095963,1
NSGA-II,normal,4000,P05,21.019039999693632,2
NSGA-II,normal,4000,P05,20.21800069976598,3
NSGA-II,normal,4000,P05,19.373457400128245,4
NSGA-II,normal,4000,P05,18.907663700170815,5
NSGA-II,normal,4000,P05,19.866617999970913,6
NSGA-II,normal,4000,P05,19.888569599948823,7
NSGA-II,normal,4000,P05,19.616205899976194,8
NSGA-II,normal,4000,P05,20.548562800046057,9
SPEA2,normal,4000,P05,44.743118999991566,0
SPEA2,normal,4000,P05,46.76390720019117,1
SPEA2,normal,4000,P05,47.655365800019354,2
SPEA2,normal,4000,P05,46.60337380040437,3
SPEA2,normal,4000,P05,46.19361150031909,4
SPEA2,normal,4000,P05,46.49195109959692,5
SPEA2,normal,4000,P05,46.495470200199634,6
SPEA2,normal,4000,P05,46.17301080003381,7
SPEA2,normal,4000,P05,45.315102599561214,8
SPEA2,normal,4000,P05,45.15216669999063,9
MOABC,normal,4000,P06,17.60074060037732,0
MOABC,normal,4000,P06,17.701310199685395,1
MOABC,normal,4000,P06,17.70538119971752,2
MOABC,normal,4000,P06,17.855349000077695,3
MOABC,normal,4000,P06,17.952794699929655,4
MOABC,normal,4000,P06,17.99520089989528,5
MOABC,normal,4000,P06,17.6808493998833,6
MOABC,normal,4000,P06,18.375341299921274,7
MOABC,normal,4000,P06,17.868494000285864,8
MOABC,normal,4000,P06,17.95646490016952,9
MOEA/D,normal,4000,P06,14.844372499734163,0
MOEA/D,normal,4000,P06,14.62538650026545,1
MOEA/D,normal,4000,P06,14.626899700146168,2
MOEA/D,normal,4000,P06,14.83141539990902,3
MOEA/D,normal,4000,P06,14.512211000081152,4
MOEA/D,normal,4000,P06,14.966292699798942,5
MOEA/D,normal,4000,P06,15.214216200169176,6
MOEA/D,normal,4000,P06,15.04977359995246,7
MOEA/D,normal,4000,P06,15.199922599829733,8
MOEA/D,normal,4000,P06,14.87669500010088,9
MOPSO,normal,4000,P06,14.47960799979046,0
MOPSO,normal,4000,P06,14.479495200328529,1
MOPSO,normal,4000,P06,14.772813600022346,2
MOPSO,normal,4000,P06,14.780044800136238,3
MOPSO,normal,4000,P06,14.630817899946123,4
MOPSO,normal,4000,P06,14.577702400274575,5
MOPSO,normal,4000,P06,14.599647399969399,6
MOPSO,normal,4000,P06,14.813335199840367,7
MOPSO,normal,4000,P06,14.668999499641359,8
MOPSO,normal,4000,P06,14.601342600304633,9
NSGA-III,normal,4000,P06,22.78543859999627,0
NSGA-III,normal,4000,P06,22.80185199994594,1
NSGA-III,normal,4000,P06,22.085667399689555,2
NSGA-III,normal,4000,P06,22.56325350003317,3
NSGA-III,normal,4000,P06,23.087176600005478,4
NSGA-III,normal,4000,P06,22.48143790010363,5
NSGA-III,normal,4000,P06,22.31501799961552,6
NSGA-III,normal,4000,P06,23.004594499710947,7
NSGA-III,normal,4000,P06,22.682473400142044,8
